Code,Market Code,Name,Date,Type,Qty,Price,Instrument Currency,Cost Base Per Share (aud),Brokerage,Brokerage Currency,Exch. Rate,Value,Unnamed_13
KSS,ASX,Kleos,2018-08-24,Buy,625.0,0.16,AUD,,0.0,AUD,1.0,100.0,
AMX,ASX,Aerometrex Limited,2019-12-02,Buy,50.0,2.0,AUD,,0.0,AUD,1.0,100.0,
ART,ASX,Airtasker Limited,2021-03-23,Buy,95.24,1.05,AUD,,0.0,AUD,1.0,100.0,
CDD,ASX,Cardno Limited,2021-12-14,Return of capital,,,AUD,,,AUD,1.0,-61.75,
CDD,ASX,Cardno Limited,2022-01-07,Consolidation,-60.0,,AUD,,,AUD,,,
CDD,ASX,Cardno Limited,2022-07-06,Return of capital,,,AUD,,,AUD,1.0,-1.71,
QBE,ASX,Qbe Insurance Group,2022-10-28,Buy,8.177,12.23,AUD,,0.0,AUD,1.0,100.0,
NEA,ASX,Nearmap Ltd,2022-12-06,Sell,-2857.0,2.1,AUD,,0.0,AUD,1.0,-5999.7,
KSS,ASX,Kleos,2023-08-29,Sell,-625.0,0.1,AUD,,0.0,AUD,1.0,-62.5,
ORI,ASX,Orica Limited,2023-12-19,Buy,6.013,16.63,AUD,,0.0,AUD,1.0,100.0,
CDD,ASX,Cardno Limited,2025-03-31,Cancellation,-7.117,0.14,AUD,,,AUD,1.0,-1.0,
LDO,BIT,Leonardo S.p.A.,1995-01-02,Buy,0.18796,278.56,EUR,,0.0,AUD,0.523560209424084,100.0,
LDO,BIT,Leonardo S.p.A.,2005-07-18,Split,3.572,,EUR,,,AUD,,,
1CNHI,BIT,CNH Industrial NV,2016-02-08,Buy,11.439,5.53,EUR,,0.0,AUD,0.6326,100.0,
IND,BKK,Index International Group Public Company Ltd,2020-12-21,Buy,2070.7,1.1,THB,,0.0,AUD,22.777219035305425,100.0,
526544,BSE,SGL Resources Ltd.,2008-12-21,Buy,1890.0,1.7,INR,,0.0,AUD,32.128588,100.0,
533048,BSE,Teamo Productions HQ Ltd.,2009-01-30,Buy,177.63,18.1,INR,,0.0,AUD,32.15069458425609,100.0,
538734,BSE,Ceinsys Tech Ltd.,2014-10-01,Buy,123.91,43.505,INR,,0.0,AUD,53.909708,100.0,
538734,BSE,Ceinsys Tech Ltd.,2017-08-10,Split,12.391,,INR,,,AUD,,,
541151,BSE,Ridings Consulting Engineers India Ltd.,2018-03-01,Buy,273.45,18.5,INR,,0.0,AUD,50.590247,100.0,
543713,BSE,Droneacharya Aerial Innovations Ltd.,2022-12-23,Buy,54.42,102.0,INR,,0.0,AUD,55.51049165,100.0,
533048,BSE,Teamo Productions HQ Ltd.,2023-12-14,Split,1598.0,,INR,,,,,,
EMBR3,BVMF,Embraer S.A.,2012-06-29,Buy,15.707,13.29,BRL,,0.0,AUD,2.087370801033593,100.0,
ALPK3,BVMF,Allpark Empreendimentos Participacoes Servicos S.A.,2020-05-15,Buy,42.098,8.934,BRL,,0.0,AUD,3.760894912623313,100.0,
SPAI,CNSX,Sparc AI Inc,2020-12-07,Buy,1187.3,0.08,CAD,,0.0,AUD,0.94982274,100.0,
DSAI,CNSX,DeepSpatial Inc,2021-03-04,Buy,2808.8,0.035,CAD,,0.0,AUD,0.983036825437294,100.0,
IAI,CNSX,Infinitii Ai Inc,2022-02-23,Buy,1085.3,0.085,CAD,,0.0,AUD,0.92250826951804,100.0,
ARWY,CNSX,Arway Corporation,2022-10-31,Buy,130.0,0.67,CAD,,0.0,AUD,0.87100976,100.0,
LITE,CNSX,SpotLite360 IOT Solutions Inc,2022-12-07,Buy,9.3,0.115,CAD,,0.0,AUD,0.91362487394915,1.17,
AIG,CNSX,Genesis AI Corp,2023-07-28,Buy,1268.0,0.07,CAD,,0.0,AUD,0.887623970212316,100.0,
AIG,CNSX,Genesis AI Corp,2025-03-13,Consolidation,-1141.0,,CAD,,,AUD,,,
MAPS,CSE,MapsPeople AS,2021-06-02,Buy,58.24,8.1,DKK,,0.0,AUD,4.71726027,100.0,
MAPS,CSE,MapsPeople AS,2025-06-27,Sell,-58.24,0.73,DKK,,0.0,DKK,4.157535975763704,-10.23,
VXTR,CVE,Voxtur Analytics Corp,2008-04-07,Buy,486.33,0.19,CAD,,0.0,AUD,0.924060432160215,100.0,
MAPS,CVE,ProStar Holdings Inc.,2010-05-03,Buy,267.41,0.35,CAD,,0.0,AUD,0.9359,100.0,
UI,CVE,Urbanimmersive Inc,2012-10-16,Buy,1002.9,0.1,CAD,,0.0,AUD,1.0029,100.0,
EQ,CVE,EQ Inc,2013-09-06,Buy,227.99,0.42,CAD,,0.0,AUD,0.957511590893364,100.0,
PNG,CVE,Kraken Robotics Inc,2013-09-24,Buy,511.45,0.19,CAD,,0.0,AUD,0.971773911828408,100.0,
PNG,CVE,Kraken Robotics Inc,2015-02-24,Consolidation,-284.0,,CAD,,,AUD,,,
TKX.H,CVE,TrackX Holdings Inc,2016-08-12,Buy,214.34,0.47,CAD,,0.0,AUD,1.0074,100.0,
MAPS,CVE,ProStar Holdings Inc.,2021-01-11,Consolidation,-238.5,,CAD,,,AUD,,,
UI,CVE,Urbanimmersive Inc,2021-09-28,Consolidation,-800.0,,CAD,,,AUD,,,
TKX.H,CVE,TrackX Holdings Inc,2022-12-07,Sell,-214.34,0.005,CAD,,0.0,CAD,0.918424953631639,-1.17,
UI,CVE,Urbanimmersive Inc,2025-02-05,Sell,-202.9,0.02,CAD,,0.0,CAD,0.899651876135088,-4.51,
VIRI,EURONEXT,Viridien,1994-01-03,Buy,0.53106,98.59,EUR,,0.0,AUD,0.523560209424084,100.0,
HO,EURONEXT,Thales S.A.,1994-01-03,Buy,1.8867,27.75,EUR,,0.0,AUD,0.523560209424084,100.0,
CAP,EURONEXT,Capgemini,1994-01-03,Buy,2.2685,23.08,EUR,,0.0,AUD,0.523560209424084,100.0,
DSY,EURONEXT,Dassault Systemes SA,1996-06-28,Buy,4.267,12.27,EUR,,0.0,AUD,0.523560209424084,100.0,
SAF,EURONEXT,Safran SA,1998-09-01,Buy,0.3229,162.15,EUR,,0.0,AUD,0.523560209424084,100.0,
SAF,EURONEXT,Safran SA,2000-07-10,Split,0.6458,,EUR,,,AUD,,,
ARCAD,EURONEXT,Arcadis NV,2002-01-02,Buy,5.992,9.5,EUR,,0.0,AUD,0.569233,100.0,
SAF,EURONEXT,Safran SA,2004-12-22,Split,2.5832,,EUR,,,AUD,,,
TOM2,EURONEXT,TomTom N.V.,2005-05-27,Buy,3.3027,18.38,EUR,,0.0,AUD,0.607054,100.0,
PARRO,EURONEXT,Parrot,2006-06-28,Buy,3.3377,17.45,EUR,,0.0,AUD,0.582411,100.0,
STMPA,EURONEXT,ST Microelectronics,2008-04-10,Buy,8.285,7.09,EUR,,0.0,AUD,0.587406015037594,100.0,
ARCAD,EURONEXT,Arcadis NV,2008-05-16,Split,11.0,,EUR,,,AUD,,,
VIRI,EURONEXT,Viridien,2008-06-03,Split,2.0,,EUR,,,AUD,,,
SU,EURONEXT,Schneider Electric SE,2011-06-01,Buy,0.6542,113.2,EUR,,0.0,AUD,0.740521,100.0,
SU,EURONEXT,Schneider Electric SE,2011-09-02,Split,0.6542,,EUR,,,AUD,,,
ALTD,EURONEXT,Tonner Drones,2013-07-02,Buy,10.067,7.0,EUR,,0.0,AUD,0.7047,100.0,
DSY,EURONEXT,Dassault Systemes SA,2014-07-17,Split,4.0,,EUR,,,AUD,,,
FR,EURONEXT,Valeo S.A.,2015-02-20,Buy,0.5096,134.1,EUR,,0.0,AUD,0.6834,100.0,
ALDRV,EURONEXT,Drone Volt,2016-01-13,Buy,32.503,1.99,EUR,,0.0,AUD,0.6468,100.0,
LAT,EURONEXT,Latecoere,2016-02-11,Buy,19.719,3.2,EUR,,0.0,AUD,0.630994447248864,100.0,
FR,EURONEXT,Valeo S.A.,2016-06-06,Split,1.0,,EUR,,,AUD,,,
VIRI,EURONEXT,Viridien,2016-07-20,Consolidation,-2.0,,EUR,,,AUD,,,
AIR,EURONEXT,Airbus SE,2016-10-01,Buy,1.2673,53.84,EUR,,0.0,AUD,0.6823,100.0,
LAT,EURONEXT,Latecoere,2019-01-14,Sell,-19.719,2.815,EUR,,0.0,EUR,0.627439169772491,-88.47,
TOM2,EURONEXT,TomTom N.V.,2019-05-23,Consolidation,-1.0,,EUR,,,AUD,,,
ALTD,EURONEXT,Tonner Drones,2019-12-04,Consolidation,-9.397,,EUR,,,AUD,,,
ALTD,EURONEXT,Tonner Drones,2020-07-14,Consolidation,-0.64,,EUR,,,AUD,,,
GOJXN,EURONEXT,GeoJunxion N.V.,2021-02-02,Buy,34.437,1.835,EUR,,0.0,AUD,0.63190035,100.0,
MLBMD,EURONEXT,Swissnet Group AG,2021-02-12,Buy,2.4157,26.5,EUR,,0.0,AUD,0.64017372,100.0,
DSY,EURONEXT,Dassault Systemes SA,2021-07-07,Split,33.0,,EUR,,,AUD,,,
ALTD,EURONEXT,Tonner Drones,2022-04-22,Consolidation,-0.029997,,EUR,,,AUD,,,
ALTD,EURONEXT,Tonner Drones,2022-05-24,Consolidation,0.0,,EUR,,,AUD,,,
MLUAV,EURONEXT,Embention Sistemas Inteligentes S.A.,2023-03-03,Buy,12.72,5.0,EUR,,0.0,AUD,0.63600042,100.0,
ALTD,EURONEXT,Tonner Drones,2023-05-18,Consolidation,0.0,,EUR,,,AUD,,,
GOJXN,EURONEXT,GeoJunxion N.V.,2024-01-17,Sell,-34.437,1.1,EUR,,0.0,EUR,0.601805295525517,-62.95,
VIRI,EURONEXT,Viridien,2024-07-31,Consolidation,-0.5257494,,EUR,,,AUD,,,
ALDRV,EURONEXT,Drone Volt,2024-12-02,Consolidation,-32.0,,EUR,,,AUD,,,
MLBMD,EURONEXT,Swissnet Group AG,2025-05-06,Sell,-2.4157,6.55,EUR,,0.0,EUR,0.573547090510319,-27.59,
AXA,FRA,Axa,1987-01-01,Buy,7.4791,7.0,EUR,,0.0,AUD,0.523560209424084,100.0,
AXA,FRA,Axa,2001-05-16,Split,22.0,,EUR,,,AUD,,,
OHB,FRA,OHB SE,2001-12-28,Buy,12.869,4.47,EUR,,0.0,AUD,0.575241601472618,100.0,
F3DC,FRA,Fugro NV - Ordinary Shares - New,2002-03-01,Buy,1.2358,48.28,EUR,,0.0,AUD,0.596623,100.0,
F3DC,FRA,Fugro NV - Ordinary Shares - New,2005-06-20,Split,3.0,,EUR,,,AUD,,,
SIE,FRA,Siemens AG - Registered Shares,2007-06-30,Buy,0.59404,105.97,EUR,,0.0,AUD,0.629524708844822,100.0,
SAP,FRA,Sap SE,2013-07-09,Buy,1.2535,56.4,EUR,,0.0,AUD,0.707,100.0,
BMW,FRA,Bayerische Motoren Werke AG,2015-08-03,Buy,0.1087,91.665,EUR,,0.0,AUD,0.6641,15.0,
MBG,FRA,Mercedes-Benz Group AG,2015-08-03,Buy,0.122,81.661,EUR,,0.0,AUD,0.6641,15.0,
VOW,FRA,Volkswagen AG,2015-08-03,Buy,0.054,184.525,EUR,,0.0,AUD,0.6641,15.0,
CON,FRA,Continental AG,2018-01-01,Buy,0.0144,225.575,EUR,,0.0,AUD,0.6493,5.0,
EXL,FRA,EXASOL AG - Registered Shares,2020-05-25,Buy,6.3224,9.5,EUR,,0.0,AUD,0.600654713637865,100.0,
F3DC,FRA,Fugro NV - Ordinary Shares - New,2020-12-21,Consolidation,-2.0,,EUR,,,AUD,,,
700,HKG,Tencent Holdings Ltd.,2011-11-01,Buy,4.632,177.5,HKD,,0.0,AUD,8.221928,100.0,
700,HKG,Tencent Holdings Ltd.,2014-05-15,Split,18.0,,HKD,,,AUD,,,
248,HKG,HKC International Holdings,2016-01-25,Buy,1934.0,0.28,HKD,,0.0,AUD,5.415443695075129,100.0,
1903,HKG,Jbb Builders International Limited,2019-05-10,Buy,446.7,1.23,HKD,,0.0,AUD,5.49464503,100.0,
9880,HKG,Ubtech Robotics Corp Ltd. - Ordinary Shares - Class H,2023-12-29,Buy,5.859,90.85,HKD,,0.0,AUD,5.322822904273753,100.0,
9660,HKG,Horizon Robotics - Ordinary Shares - Class B,2024-10-25,Buy,128.65,3.99,HKD,,0.0,AUD,5.13309235031836,100.0,
03036,KLS,RedPlanet Berhad,2020-08-04,Buy,946.2,0.32,MYR,,0.0,AUD,3.02782232,100.0,
7250,KLS,Uzma Bhd,2021-07-01,Buy,470.5,0.66,MYR,,0.0,AUD,3.105422823952828,100.0,
7250,KLS,Uzma Bhd,2025-04-04,Split,156.0,,MYR,,,AUD,,,
038950,KOSDAQ,Finedigital Inc.,2004-02-02,Buy,31.07,2860.0,KRW,,0.0,AUD,888.6031072661782,100.0,
046310,KOSDAQ,BG T&A Co.,2004-02-02,Buy,42.316,2100.0,KRW,,0.0,AUD,888.6031072661782,100.0,
084730,KOSDAQ,Thinkware Systems Corporation,2006-05-19,Buy,5.996,12050.0,KRW,,0.0,AUD,722.5342015652046,100.0,
099320,KOSDAQ,Satrec Initiative Co Ltd,2008-06-02,Buy,4.0679,24000.0,KRW,,0.0,AUD,976.2705745150994,100.0,
208860,KOSDAQ,Engis Technologies Inc,2016-07-01,Buy,13.518,6335.0,KRW,,0.0,AUD,856.3734999999999,100.0,
030520,KOSDAQ,Haansoft,2018-06-30,Buy,4.5856,18000.0,KRW,,0.0,AUD,825.3752,100.0,
017670,KRX,SK Telecom Co Ltd,2003-10-10,Buy,5.8736,13530.0,KRW,,0.0,AUD,794.6651798814486,100.0,
035420,KRX,Naver Co Ltd,2008-11-28,Buy,0.7836,122500.0,KRW,,0.0,AUD,959.907206616572,100.0,
005930,KRX,Samsung Electronics,2012-06-30,Buy,0.11941,978000.0,KRW,,0.0,AUD,1167.8418024151065,100.0,
035720,KRX,Kakao Corp,2016-06-30,Buy,4.659,18470.0,KRW,,0.0,AUD,860.5391992488742,100.0,
005930,KRX,Samsung Electronics,2018-05-04,Split,5.0,,KRW,,,AUD,,,
035420,KRX,Naver Co Ltd,2018-10-12,Split,3.0,,KRW,,,AUD,,,
005380,KRX,Hyundai Motor,2020-07-23,Buy,0.6852,124500.0,KRW,,0.0,AUD,853.0791013341022,100.0,
035720,KRX,Kakao Corp,2021-04-15,Split,18.0,,KRW,,,AUD,,,
017670,KRX,SK Telecom Co Ltd,2021-11-29,Split,23.0,,KRW,,,AUD,,,
BA.,LSE,BAE Systems plc,1991-06-30,Buy,66.01,0.564,GBP,,0.0,AUD,0.372303664921466,100.0,
PSON,LSE,Pearson plc,1995-07-24,Buy,182.5,0.204,GBP,,0.0,AUD,0.372303664921466,100.0,
SPT,LSE,Spirent Communications Plc,1998-01-30,Buy,4.0797,9.126,GBP,,0.0,AUD,0.372303664921466,100.0,
BA.,LSE,BAE Systems plc,1998-05-05,Split,198.0,,GBP,,,AUD,,,
SPT,LSE,Spirent Communications Plc,2000-05-15,Split,8.0,,GBP,,,AUD,,,
SPT,LSE,Spirent Communications Plc,2001-07-10,Consolidation,-6.0,,GBP,,,AUD,,,
CNC,LSE,Concurrent Technologies,2001-12-03,Buy,150.24,0.2425,GBP,,0.0,AUD,0.364334,100.0,
WG,LSE,John Wood Group Plc,2002-06-05,Buy,10.925,3.6,GBP,,0.0,AUD,0.3933,100.0,
CNC,LSE,Concurrent Technologies,2003-07-14,Split,75.0,,GBP,,,AUD,,,
CNC,LSE,Concurrent Technologies,2004-12-20,Split,225.0,,GBP,,,AUD,,,
SPA,LSE,1Spatial PLC,2005-06-21,Buy,37.045,1.15,GBP,,0.0,AUD,0.426,100.0,
GTC,LSE,Getech Group,2005-09-23,Buy,99.21,0.43,GBP,,0.0,AUD,0.4266,100.0,
QQ.,LSE,Qinetiq Group,2006-02-10,Buy,19.741,2.15,GBP,,0.0,AUD,0.424438687392055,100.0,
SRP,LSE,Serco Group plc,2010-05-27,Buy,9.59,6.03,GBP,,0.0,AUD,0.578281461434371,100.0,
IQG,LSE,IQGeo Group Plc,2011-06-01,Buy,34.207,1.888,GBP,,0.0,AUD,0.6458,100.0,
WG,LSE,John Wood Group Plc,2011-07-04,Consolidation,-2.5,,GBP,,,AUD,,,
QTX,LSE,Quartix Technologies Plc,2014-11-05,Buy,60.578,0.9,GBP,,0.0,AUD,0.545181982987031,100.0,
MAIL,LSE,VK Company Limited - GDR - Reg S,2014-11-13,Buy,3.8056,22.88,USD,,0.0,AUD,0.8707,100.0,
WPHO,LSE,Windar Photonics Plc,2015-03-30,Buy,43.455,1.19,GBP,,0.0,AUD,0.5171,100.0,
HLMA,LSE,Halma plc,2016-02-05,Buy,6.1208,8.05,GBP,,0.0,AUD,0.4927,100.0,
SORT,LSE,Sorted Group Holdings Plc,2018-03-22,Buy,272700.0,0.0002,GBP,,0.0,AUD,0.5453,100.02,
LSEG,LSE,London Stock Exchange Group,2018-06-30,Buy,1.2538,44.71,GBP,,0.0,AUD,0.5606,100.0,
SPA,LSE,1Spatial PLC,2018-08-21,Consolidation,-33.0,,GBP,,,AUD,,,
SPA,LSE,1Spatial PLC,2018-08-21,Sell,-4.045,0.0425,GBP,,0.0,GBP,0.5704,-0.3,
SPA,LSE,1Spatial Plc,2018-08-22,Buy,130.65,0.435,GBP,,0.0,AUD,0.5683,100.0,
MAIL,LSE,VK Company Limited - GDR - Reg S,2020-11-02,Sell,-3.8056,26.05,USD,,0.0,USD,0.70540002,-140.54,
IDOX,LSE,Idox,2021-01-01,Buy,111.42,0.505,GBP,,0.0,AUD,0.562655986008489,100.0,
SSIT,LSE,Seraphim Space Investment Trust Plc,2021-07-14,Buy,52.92,1.02,GBP,,0.0,AUD,0.53976439,100.0,
SORT,LSE,Sorted Group Holdings Plc,2024-02-19,Consolidation,-272263.0,,GBP,,,AUD,,,
SPT,LSE,Spirent Communications Plc,2024-03-05,Sell,-6.0797,1.7262,GBP,,0.0,GBP,0.51215856,-20.49,
IQG,LSE,IQGeo Group Plc,2024-09-24,Sell,-34.207,4.770834,GBP,,0.0,GBP,0.514297401751251,-317.32,
YNDX,MISX,Yandex NV - Ordinary Shares - Class A,2022-03-08,Buy,4.895,1930.0,RUB,,0.0,AUD,94.47571076,100.0,
YNDX,MISX,Yandex NV - Ordinary Shares - Class A,2024-07-10,Sell,-4.895,4073.2,RUB,,0.0,RUB,59.64243044462699,-334.3,
HON,NASDAQ,Honeywell International Inc,1970-01-01,Buy,2.758,22.38,USD,,0.0,AUD,0.617225130890052,100.0,
CMTL,NASDAQ,Comtech Telecommunications Corp.,1972-12-15,Buy,2.9046,21.249,USD,,0.0,AUD,0.617225130890052,100.0,
RAVN,NASDAQ,"Raven Industries, Inc.",1980-03-03,Buy,25.506,2.42,USD,,0.0,AUD,0.617225130890052,100.0,
CMTL,NASDAQ,Comtech Telecommunications Corp.,1980-04-16,Split,3.0,,USD,,,AUD,,,
HON,NASDAQ,Honeywell International Inc,1984-05-30,Split,1.0,,USD,,,AUD,,,
ADSK,NASDAQ,Autodesk Inc.,1985-06-28,Buy,5.611,11.0,USD,,0.0,AUD,0.617225130890052,100.0,
ADSK,NASDAQ,Autodesk Inc.,1987-03-30,Split,10.0,,USD,,,AUD,,,
RAVN,NASDAQ,"Raven Industries, Inc.",1989-10-18,Split,26.0,,USD,,,AUD,,,
PTC,NASDAQ,PTC Inc,1989-12-08,Buy,3.4019,18.144,USD,,0.0,AUD,0.617225130890052,100.0,
TRMB,NASDAQ,Trimble Inc,1990-07-02,Buy,5.946,10.38,USD,,0.0,AUD,0.617225130890052,100.0,
EXPO,NASDAQ,Exponent Inc.,1990-08-17,Buy,4.822,12.8,USD,,0.0,AUD,0.617225130890052,100.0,
CMTL,NASDAQ,Comtech Telecommunications Corp.,1991-01-08,Consolidation,-4.8,,USD,,,AUD,,,
PTC,NASDAQ,PTC Inc,1991-02-28,Split,1.70095,,USD,,,AUD,,,
TTEK,NASDAQ,"Tetra Tech, Inc.",1991-12-17,Buy,5.7526,10.73,USD,,0.0,AUD,0.617225130890052,100.0,
PTC,NASDAQ,PTC Inc,1992-02-26,Split,5.0,,USD,,,AUD,,,
MSFT,NASDAQ,Microsoft Corporation,1992-06-30,Buy,0.8807,70.08,USD,,0.0,AUD,0.617225130890052,100.0,
RAVN,NASDAQ,"Raven Industries, Inc.",1992-10-16,Split,26.0,,USD,,,AUD,,,
TTEK,NASDAQ,"Tetra Tech, Inc.",1992-12-15,Bonus,1.0,,USD,,,AUD,,,
PTC,NASDAQ,PTC Inc,1993-02-26,Split,10.0,,USD,,,AUD,,,
XRX,NASDAQ,Xerox Holdings Corp,1993-06-30,Buy,1.378,44.79,USD,,0.0,AUD,0.617225130890052,100.0,
TTEK,NASDAQ,"Tetra Tech, Inc.",1993-11-15,Bonus,1.7,,USD,,,AUD,,,
HON,NASDAQ,Honeywell International Inc,1994-03-15,Split,4.0,,USD,,,AUD,,,
CODA,NASDAQ,Coda Octopus Group Inc.,1994-05-17,Buy,11.483,5.375,USD,,0.0,AUD,0.617225130890052,100.0,
MSFT,NASDAQ,Microsoft Corporation,1994-05-23,Split,1.0,,USD,,,AUD,,,
TTEK,NASDAQ,"Tetra Tech, Inc.",1994-09-19,Bonus,2.11,,USD,,,AUD,,,
ADSK,NASDAQ,Autodesk Inc.,1994-10-31,Split,15.0,,USD,,,AUD,,,
TTEK,NASDAQ,"Tetra Tech, Inc.",1995-06-26,Bonus,2.63,,USD,,,AUD,,,
GNSS,NASDAQ,LRAD Corp,1995-07-27,Buy,123.44,0.5,USD,,0.0,AUD,0.617225130890052,100.0,
NTAP,NASDAQ,Netapp Inc,1995-11-21,Buy,4.572,13.5,USD,,0.0,AUD,0.617225130890052,100.0,
PTC,NASDAQ,PTC Inc,1996-03-01,Split,20.0,,USD,,,AUD,,,
XRX,NASDAQ,Xerox Holdings Corp,1996-06-07,Split,2.0,,USD,,,AUD,,,
TTEK,NASDAQ,"Tetra Tech, Inc.",1996-06-24,Bonus,3.3,,USD,,,AUD,,,
MVIS,NASDAQ,Microvision Inc.,1996-08-27,Buy,1.2597,49.0,USD,,0.0,AUD,0.617225130890052,100.0,
VSAT,NASDAQ,"Viasat, Inc.",1996-12-02,Buy,6.497,9.5,USD,,0.0,AUD,0.617225130890052,100.0,
MSFT,NASDAQ,Microsoft Corporation,1996-12-09,Split,2.0,,USD,,,AUD,,,
HON,NASDAQ,Honeywell International Inc,1997-09-16,Split,8.0,,USD,,,AUD,,,
FARO,NASDAQ,Faro Technologies Inc.,1997-09-18,Buy,3.7984,16.25,USD,,0.0,AUD,0.617225130890052,100.0,
TTEK,NASDAQ,"Tetra Tech, Inc.",1997-12-02,Bonus,4.12,,USD,,,AUD,,,
NTAP,NASDAQ,Netapp Inc,1997-12-19,Split,4.572,,USD,,,AUD,,,
MSFT,NASDAQ,Microsoft Corporation,1998-02-23,Split,4.0,,USD,,,AUD,,,
PTC,NASDAQ,PTC Inc,1998-03-09,Split,40.0,,USD,,,AUD,,,
YHOO,NASDAQ,Yahoo Inc,1998-06-01,Buy,4.115,15.0,USD,,0.0,AUD,0.617225130890052,100.0,
TTEK,NASDAQ,"Tetra Tech, Inc.",1998-09-16,Bonus,5.15,,USD,,,AUD,,,
NTAP,NASDAQ,Netapp Inc,1998-12-22,Split,9.144,,USD,,,AUD,,,
XRX,NASDAQ,Xerox Holdings Corp,1999-02-24,Split,3.0,,USD,,,AUD,,,
MSFT,NASDAQ,Microsoft Corporation,1999-03-03,Split,8.0,,USD,,,AUD,,,
TTEK,NASDAQ,"Tetra Tech, Inc.",1999-06-16,Bonus,6.44,,USD,,,AUD,,,
NTAP,NASDAQ,Netapp Inc,1999-12-21,Split,18.288,,USD,,,AUD,,,
YHOO,NASDAQ,Yahoo Inc,2000-02-14,Split,4.0,,USD,,,AUD,,,
QCOM,NASDAQ,"Qualcomm, Inc.",2000-03-02,Buy,0.44245,139.0,USD,,0.0,AUD,0.615004748338082,100.0,
NTAP,NASDAQ,Netapp Inc,2000-03-23,Split,36.576,,USD,,,AUD,,,
VSAT,NASDAQ,"Viasat, Inc.",2000-09-01,Split,6.0,,USD,,,AUD,,,
RAVN,NASDAQ,"Raven Industries, Inc.",2001-07-16,Split,38.0,,USD,,,AUD,,,
XRX,NASDAQ,Xerox Holdings Corp,2001-11-30,Sell,-6.378,8.4,USD,,0.0,USD,0.5189,-103.25,
TTEK,NASDAQ,"Tetra Tech, Inc.",2001-12-17,Bonus,8.0,,USD,,,AUD,,,
ADSK,NASDAQ,Autodesk Inc.,2002-04-19,Split,30.0,,USD,,,AUD,,,
RAVN,NASDAQ,"Raven Industries, Inc.",2003-01-16,Split,115.0,,USD,,,AUD,,,
MSFT,NASDAQ,Microsoft Corporation,2003-02-18,Split,16.0,,USD,,,AUD,,,
SWIR,NASDAQ,Sierra Wireless Inc,2003-06-30,Buy,10.319,6.45,USD,,0.0,AUD,0.665585407075004,100.0,
CMTL,NASDAQ,Comtech Telecommunications Corp.,2003-07-15,Split,0.6,,USD,,,AUD,,,
TRMB,NASDAQ,Trimble Inc,2004-03-05,Split,2.0,,USD,,,AUD,,,
YHOO,NASDAQ,Yahoo Inc,2004-05-12,Split,8.0,,USD,,,AUD,,,
CODA,NASDAQ,Coda Octopus Group Inc.,2004-08-11,Consolidation,-11.44472333,,USD,,,AUD,,,
QCOM,NASDAQ,"Qualcomm, Inc.",2004-08-16,Split,0.0,,USD,,,,,,
GOOGL,NASDAQ,Alphabet Inc - Ordinary Shares - Class A,2004-08-19,Buy,0.7131,100.34,USD,,0.0,AUD,0.7155,100.0,
RAVN,NASDAQ,"Raven Industries, Inc.",2004-10-18,Split,230.0,,USD,,,AUD,,,
ADSK,NASDAQ,Autodesk Inc.,2004-12-21,Split,60.0,,USD,,,AUD,,,
